material_id,pretty_formula,Li,Mn,Ni,O,formation_energy_per_atom,crystal_system,spacegroup.symbol,nsites,volume,density,band_gap,e_above_hull
mp-758714,Li2MnNi3O8,0.142857143,0.071428571,0.214285714,0.571428571,-1.298627771,triclinic,P-1,14,138.1555332,4.481959136,0,0.095887318
mp-760956,Li6Mn5Ni3O16,0.2,0.166666667,0.1,0.533333333,-1.837129452,monoclinic,Cm,30,275.8264246,4.505582713,0.2602,0.080299898
mp-763752,Li3Mn2(NiO4)2,0.2,0.133333333,0.133333333,0.533333333,-1.296546432,triclinic,P-1,15,142.0913701,4.395040611,0,0.494705197
mp-753186,Li4Mn3(NiO4)3,0.181818182,0.136363636,0.136363636,0.545454545,-1.715837697,triclinic,P-1,22,214.3171971,4.343949646,0.1488,0.035209842
mp-758510,Li2Mn2NiO6,0.181818182,0.181818182,0.090909091,0.545454545,-1.818947132,triclinic,P-1,33,324.3163552,4.277060888,0.9002,0.066485282
mp-758838,Li4Mn5(NiO6)2,0.173913043,0.217391304,0.086956522,0.52173913,-1.91443147,monoclinic,P2_1,46,447.1161911,4.544563534,0.6324,0.036982867
mp-758709,Li3Mn5(NiO6)2,0.136363636,0.227272727,0.090909091,0.545454545,-1.815673907,triclinic,P1,66,650.8868123,4.629598333,0.495,0.099048594
mp-753219,Li3MnNi3O8,0.2,0.066666667,0.2,0.533333333,-1.336650701,monoclinic,C2/m,15,140.7465325,4.481341348,0,0.202245487
mp-756366,LiMnNiO4,0.142857143,0.142857143,0.142857143,0.571428571,-1.630206996,orthorhombic,Imma,14,139.8312706,4.383651367,0.196,0.008392857
mp-774906,Li2MnNi3O8,0.142857143,0.071428571,0.214285714,0.571428571,-1.341986778,triclinic,P1,56,546.5200248,4.532001947,0.5279,0.080402452
mp-757424,LiMn3NiO8,0.076923077,0.230769231,0.076923077,0.615384615,-1.422809974,monoclinic,C2/m,13,146.1451094,4.072731735,0.118,0.338539118
mp-1177894,Li2MnNiO4,0.25,0.125,0.125,0.5,-1.826565885,tetragonal,I-4m2,8,70.81103245,4.490989058,0,0.075246991
mp-863332,Li3Mn3NiO8,0.2,0.2,0.066666667,0.533333333,-1.877950958,monoclinic,C2/m,15,146.9813252,4.206394434,0.0082,0.213599832
mp-753229,Li2Mn3NiO8,0.142857143,0.214285714,0.071428571,0.571428571,-1.862824061,monoclinic,C2/m,14,144.2274717,4.206796525,0.5386,0.072452689
mp-754945,Li2MnNiO4,0.25,0.125,0.125,0.5,-1.863067554,monoclinic,P2/m,8,71.27587077,4.461700271,0.1841,0.038745322
mp-1289129,Li2MnNiO4,0.25,0.125,0.125,0.5,-1.808155937,orthorhombic,C222,16,141.7816317,4.485934715,0,0.093656938
mp-756831,Li3Mn2NiO6,0.25,0.166666667,0.083333333,0.5,-1.949453263,monoclinic,C2/m,12,110.7139368,4.280395175,0,0.04202448
mp-764043,Li3Mn3NiO8,0.2,0.2,0.066666667,0.533333333,-1.170659303,monoclinic,Cc,30,280.0336537,4.415622339,0.3707,0.81950798
mp-771971,Li2Mn3NiO8,0.142857143,0.214285714,0.071428571,0.571428571,-1.888151046,hexagonal,P6_3mc,28,278.9252212,4.350525379,1.0324,0.047125704
mp-754927,Li5Mn2Ni3O10,0.25,0.1,0.15,0.5,-1.788835415,triclinic,P-1,20,177.6769221,4.492124678,0.1816,0.014942743
mp-850209,Li5Mn(Ni2O5)2,0.25,0.05,0.2,0.5,-1.533267154,triclinic,P-1,20,176.4734719,4.558094719,0,0.074441569
mp-753964,Li4Mn5NiO12,0.181818182,0.227272727,0.045454545,0.545454545,-1.931135729,monoclinic,C2/m,22,233.4872723,3.933881603,0.0453,0.09116043
mp-756870,Li3Mn(NiO2)4,0.1875,0.0625,0.25,0.5,-1.553433258,monoclinic,C2/m,16,143.8228963,5.063143341,0,0.009730629
